filepath,label,class_name
OS Collected Data/Osteoporosis/Osteoporosis 141.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 315.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 126.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 125.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 377.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 19.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 309.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 339.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 320.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 475.jpg,0,Normal
OS Collected Data/Normal/Normal 550.jpg,0,Normal
OS Collected Data/Normal/Normal 11.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 468.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 557.jpg,0,Normal
OS Collected Data/Normal/Normal 172.jpg,0,Normal
OS Collected Data/Normal/Normal 440.jpg,0,Normal
OS Collected Data/Normal/Normal 484.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 149.JPEG,1,Osteoporosis
OS Collected Data/Normal/Normal 157.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 428.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 382.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 511.jpg,0,Normal
OS Collected Data/Normal/Normal 523.jpg,0,Normal
OS Collected Data/Normal/Normal 167.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 383.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 181.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 394.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 512.jpg,0,Normal
OS Collected Data/Normal/Normal 571.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 112.png,1,Osteoporosis
OS Collected Data/Normal/Normal 459.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 140.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 507.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 326.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 28.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 328.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 392.png,0,Normal
OS Collected Data/Normal/Normal 425.jpg,0,Normal
OS Collected Data/Normal/Normal 222.JPEG,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 533.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 182.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 555.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 424.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 465.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 501.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 168.JPEG,1,Osteoporosis
OS Collected Data/Normal/Normal 358.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 100.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 345.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 530.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 361.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 362.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 10.png,1,Osteoporosis
OS Collected Data/Normal/Normal 576.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 153.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 525.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 356.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 601.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 532.jpg,0,Normal
OS Collected Data/Normal/Normal 568.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 360.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 516.jpg,0,Normal
OS Collected Data/Normal/Normal 343.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 310.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 156.jpg,0,Normal
OS Collected Data/Normal/Normal 132.jpg,0,Normal
OS Collected Data/Normal/Normal 354.jpg,0,Normal
OS Collected Data/Normal/Normal 445.jpg,0,Normal
OS Collected Data/Normal/Normal 169.JPEG,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 368.png,1,Osteoporosis
OS Collected Data/Normal/Normal 138.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 183.png,1,Osteoporosis
OS Collected Data/Normal/Normal 431.jpg,0,Normal
OS Collected Data/Normal/Normal 363.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 185.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 523.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 494.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 26.JPEG,1,Osteoporosis
OS Collected Data/Normal/Normal 455.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 387.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 472.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 413.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 340.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 512.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 308.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 519.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 495.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 588.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 116.JPEG,0,Normal
OS Collected Data/Normal/Normal 463.jpg,0,Normal
OS Collected Data/Normal/Normal 217.JPEG,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 136.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 17.jpg,0,Normal
OS Collected Data/Normal/Normal 528.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 486.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 138.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 534.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 591.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 344.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 156.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 330.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 404.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 425.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 381.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 165.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 303.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 573.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 542.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 449.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 187.JPEG,0,Normal
OS Collected Data/Normal/Normal 355.png,0,Normal
OS Collected Data/Normal/Normal 141.jpg,0,Normal
OS Collected Data/Normal/Normal 403.JPEG,0,Normal
OS Collected Data/Normal/Normal 394.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 175.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 180.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 354.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 296.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 578.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 533.jpg,0,Normal
OS Collected Data/Normal/Normal 190.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 133.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 111.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 163.png,1,Osteoporosis
OS Collected Data/Normal/Normal 401.png,0,Normal
OS Collected Data/Normal/Normal 131.jpg,0,Normal
OS Collected Data/Normal/Normal 364.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 477.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 180.JPEG,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 576.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 563.jpg,0,Normal
OS Collected Data/Normal/Normal 179.png,0,Normal
OS Collected Data/Normal/Normal 168.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 19.JPEG,1,Osteoporosis
OS Collected Data/Normal/Normal 537.jpg,0,Normal
OS Collected Data/Normal/Normal 100.jpg,0,Normal
OS Collected Data/Normal/Normal 433.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 513.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 161.jpg,0,Normal
OS Collected Data/Normal/Normal 529.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 302.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 301.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 532.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 13.png,1,Osteoporosis
OS Collected Data/Normal/Normal 590.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 299.png,1,Osteoporosis
OS Collected Data/Normal/Normal 572.jpg,0,Normal
OS Collected Data/Normal/Normal 412.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 564.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 24.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 607.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 491.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 152.jpg,0,Normal
OS Collected Data/Normal/Normal 407.JPEG,0,Normal
OS Collected Data/Normal/Normal 489.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 27.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 26.png,0,Normal
OS Collected Data/Normal/Normal 150.jpg,0,Normal
OS Collected Data/Normal/Normal 451.jpg,0,Normal
OS Collected Data/Normal/Normal 384.png,0,Normal
OS Collected Data/Normal/Normal 201.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 456.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 358.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 159.JPEG,1,Osteoporosis
OS Collected Data/Normal/Normal 582.jpg,0,Normal
OS Collected Data/Normal/Normal 140.jpg,0,Normal
OS Collected Data/Normal/Normal 525.jpg,0,Normal
OS Collected Data/Normal/Normal 565.jpg,0,Normal
OS Collected Data/Normal/Normal 449.jpg,0,Normal
OS Collected Data/Normal/Normal 435.jpg,0,Normal
OS Collected Data/Normal/Normal 108.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 558.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 139.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 110.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 147.JPEG,1,Osteoporosis
OS Collected Data/Normal/Normal 191.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 496.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 174.JPEG,1,Osteoporosis
OS Collected Data/Normal/Normal 465.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 500.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 589.jpg,0,Normal
OS Collected Data/Normal/Normal 551.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 432.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 163.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 366.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 359.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 459.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 137.jpg,0,Normal
OS Collected Data/Normal/Normal 23.png,0,Normal
OS Collected Data/Normal/Normal 505.jpg,0,Normal
OS Collected Data/Normal/Normal 524.jpg,0,Normal
OS Collected Data/Normal/Normal 448.jpg,0,Normal
OS Collected Data/Normal/Normal 450.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 298.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 469.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 514.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 103.JPEG,0,Normal
OS Collected Data/Normal/Normal 393.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 447.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 361.png,0,Normal
OS Collected Data/Normal/Normal 216.JPEG,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 305.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 318.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 539.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 136.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 107.png,1,Osteoporosis
OS Collected Data/Normal/Normal 368.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 11.JPEG,1,Osteoporosis
OS Collected Data/Normal/Normal 377.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 128.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 196.jpg,0,Normal
OS Collected Data/Normal/Normal 186.JPEG,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 374.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 149.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 434.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 521.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 570.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 367.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 218.jpg,0,Normal
OS Collected Data/Normal/Normal 415.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 121.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 438.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 580.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 489.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 440.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 346.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 584.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 595.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 350.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 132.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 427.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 460.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 544.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 184.jpg,0,Normal
OS Collected Data/Normal/Normal 480.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 463.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 541.jpg,0,Normal
OS Collected Data/Normal/Normal 584.jpg,0,Normal
OS Collected Data/Normal/Normal 22.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 589.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 580.jpg,0,Normal
OS Collected Data/Normal/Normal 115.JPEG,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 577.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 527.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 373.png,0,Normal
OS Collected Data/Normal/Normal 155.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 334.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 406.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 596.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 378.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 482.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 14.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 373.JPEG,1,Osteoporosis
OS Collected Data/Normal/Normal 188.JPEG,0,Normal
OS Collected Data/Normal/Normal 409.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 470.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 186.png,1,Osteoporosis
OS Collected Data/Normal/Normal 351.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 567.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 559.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 143.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 384.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 502.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 538.jpg,0,Normal
OS Collected Data/Normal/Normal 427.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 119.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 130.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 167.png,1,Osteoporosis
OS Collected Data/Normal/Normal 526.jpg,0,Normal
OS Collected Data/Normal/Normal 432.jpg,0,Normal
OS Collected Data/Normal/Normal 145.jpg,0,Normal
OS Collected Data/Normal/Normal 476.jpg,0,Normal
OS Collected Data/Normal/Normal 125.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 178.png,1,Osteoporosis
OS Collected Data/Normal/Normal 170.jpg,0,Normal
OS Collected Data/Normal/Normal 12.jpg,0,Normal
OS Collected Data/Normal/Normal 466.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 110.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 522.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 389.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 518.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 121.JPEG,0,Normal
OS Collected Data/Normal/Normal 129.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 471.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 18.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 371.png,1,Osteoporosis
OS Collected Data/Normal/Normal 479.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 113.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 590.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 335.png,1,Osteoporosis
OS Collected Data/Normal/Normal 194.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 592.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 159.jpg,0,Normal
OS Collected Data/Normal/Normal 501.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 529.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 193.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 15.png,1,Osteoporosis
OS Collected Data/Normal/Normal 398.png,0,Normal
OS Collected Data/Normal/Normal 486.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 526.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 171.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 563.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 340.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 545.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 496.jpg,0,Normal
OS Collected Data/Normal/Normal 397.png,0,Normal
OS Collected Data/Normal/Normal 16.png,0,Normal
OS Collected Data/Normal/Normal 391.JPEG,0,Normal
OS Collected Data/Normal/Normal 178.jpg,0,Normal
OS Collected Data/Normal/Normal 506.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 101.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 369.png,1,Osteoporosis
OS Collected Data/Normal/Normal 429.jpg,0,Normal
OS Collected Data/Normal/Normal 553.jpg,0,Normal
OS Collected Data/Normal/Normal 545.jpg,0,Normal
OS Collected Data/Normal/Normal 101.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 462.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 14.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 32.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 155.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 422.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 435.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 376.JPEG,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 604.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 374.png,0,Normal
OS Collected Data/Normal/Normal 177.png,0,Normal
OS Collected Data/Normal/Normal 357.jpg,0,Normal
OS Collected Data/Normal/Normal 544.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 173.png,1,Osteoporosis
OS Collected Data/Normal/Normal 160.png,0,Normal
OS Collected Data/Normal/Normal 499.jpg,0,Normal
OS Collected Data/Normal/Normal 561.jpg,0,Normal
OS Collected Data/Normal/Normal 171.jpg,0,Normal
OS Collected Data/Normal/Normal 555.jpg,0,Normal
OS Collected Data/Normal/Normal 24.jpg,0,Normal
OS Collected Data/Normal/Normal 127.jpg,0,Normal
OS Collected Data/Normal/Normal 120.jpg,0,Normal
OS Collected Data/Normal/Normal 18.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 429.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 569.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 21.JPEG,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 479.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 123.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 568.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 1.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 321.JPEG,1,Osteoporosis
OS Collected Data/Normal/Normal 494.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 536.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 118.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 562.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 338.png,0,Normal
OS Collected Data/Normal/Normal 13.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 499.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 351.png,1,Osteoporosis
OS Collected Data/Normal/Normal 491.jpg,0,Normal
OS Collected Data/Normal/Normal 165.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 441.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 176.png,1,Osteoporosis
OS Collected Data/Normal/Normal 453.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 337.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 443.jpg,0,Normal
OS Collected Data/Normal/Normal 567.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 423.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 28.png,1,Osteoporosis
OS Collected Data/Normal/Normal 372.png,0,Normal
OS Collected Data/Normal/Normal 546.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 148.png,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 376.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 345.png,0,Normal
OS Collected Data/Normal/Normal 342.png,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 349.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 325.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 573.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 319.jpg,1,Osteoporosis
OS Collected Data/Osteoporosis/Osteoporosis 179.JPEG,1,Osteoporosis
OS Collected Data/Normal/Normal 359.png,0,Normal
OS Collected Data/Normal/Normal 509.jpg,0,Normal
OS Collected Data/Normal/Normal 478.jpg,0,Normal
OS Collected Data/Normal/Normal 198.jpg,0,Normal
OS Collected Data/Normal/Normal 520.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 365.jpg,1,Osteoporosis
OS Collected Data/Normal/Normal 460.jpg,0,Normal
OS Collected Data/Osteoporosis/Osteoporosis 461.jpg,1,Osteoporosis
